LOAN_ID,CUSTOMER_ID,AGE,GENDER,STATE,OCCUPATION,MONTHLY_INCOME,LOAN_PRODUCT,LOAN_AMOUNT,SANCTION_AMOUNT,LOAN_TENURE,INTEREST_RATE,EMI_AMOUNT,BUREAU_SCORE,VINTAGE_MONTHS,CURRENT_DPD,MAX_DPD,OUTSTANDING_BALANCE,COLLECTION_BUCKET,LOAN_STATUS,DEFAULT_FLAG,WRITE_OFF_FLAG,DISBURSAL_DATE,LAST_PAYMENT_DATE,INCOME_IMPUTED,BUREAU_IMPUTED,FOIR,EMI_INCOME_RATIO_PCT,CREDIT_UTILIZATION,IS_DELINQUENT,LOAN_TO_INCOME,RISK_LABEL,APPROVAL_LABEL
LN0000166,CUST000457,45,Female,Uttar Pradesh,Self Employed,95107.0,Personal Loan,267388,214738,12,16.54,19538.28,704.0,7,0,60,58627,Current,Active,0,0,2020-10-11,2021-04-08,0,0,0.2054,20.5,0.273,0,0.19,Low Risk,Approve with Conditions
LN0000506,CUST000122,46,Male,Rajasthan,Self Employed,43213.0,Consumer Durable Loan,68802,47177,24,20.44,2411.26,696.0,1,0,150,36504,Current,Active,0,0,2024-10-26,2024-10-30,0,0,0.0558,5.6,0.7738,0,0.09,Medium Risk,Approve with Conditions
LN0000613,CUST000258,48,Male,Delhi,Salaried,42843.0,Personal Loan,304085,224354,12,18.61,20633.96,624.0,11,7,120,92889,1-30,Active,0,0,2021-02-04,2021-11-17,0,0,0.4816,48.2,0.414,1,0.44,High Risk,Reject
LN0000585,CUST000061,36,Female,Tamil Nadu,Self Employed,44958.0,Personal Loan,550709,453100,12,14.37,40761.47,673.0,68,7,15,120899,1-30,Active,0,0,2024-10-26,2030-04-17,0,0,0.9067,90.7,0.2668,1,0.84,Medium Risk,Reject
LN0000255,CUST000469,21,Female,Tamil Nadu,Salaried,41248.0,Personal Loan,275636,177112,24,10.14,8184.27,568.0,49,0,150,105282,Current,Active,0,0,2024-07-07,2028-06-16,0,0,0.1984,19.8,0.5944,0,0.36,High Risk,Reject
LN0000751,CUST000445,49,Female,West Bengal,Business,54576.5,Vehicle Loan,100000,76960,60,17.75,1943.83,697.0,60,0,0,26351,Current,Active,0,0,2021-05-25,2026-03-25,1,0,0.0356,3.6,0.3424,0,0.12,Medium Risk,Approve with Conditions
LN0000529,CUST000254,37,Female,West Bengal,Professional,45989.0,Vehicle Loan,808222,604376,60,13.3,13844.41,648.0,48,0,120,166978,Current,Active,0,0,2022-09-08,2026-08-18,0,0,0.301,30.1,0.2763,0,1.1,High Risk,Reject
LN0000843,CUST000658,25,Female,Delhi,Unknown,35197.0,MSME Loan,1079357,858544,60,15.06,20451.75,712.0,33,30,120,395356,1-30,Active,0,0,2022-09-21,2025-05-05,0,1,0.5811,58.1,0.4605,1,2.03,Medium Risk,Approve with Conditions
LN0000150,CUST000112,29,Female,Maharashtra,Salaried,53978.0,Consumer Durable Loan,110830,100173,24,13.32,4777.48,756.0,60,0,120,18861,Current,Active,0,0,2020-01-27,2024-12-16,0,0,0.0885,8.8,0.1883,0,0.15,Medium Risk,Approve with Conditions
LN0000645,CUST000303,45,Male,Karnataka,Self Employed,90674.0,Personal Loan,360560,298447,18,15.63,18707.16,775.0,25,30,120,230102,1-30,Active,0,0,2025-03-29,2027-02-03,0,0,0.2063,20.6,0.771,1,0.27,Medium Risk,Approve with Conditions
LN0000694,CUST000246,45,Female,Karnataka,Self Employed,74986.0,Home Loan,3900420,3025548,180,14.46,41231.8,659.0,71,75,75,421799,61-90,Delinquent,0,0,2022-06-28,2028-01-21,0,0,0.5499,55.0,0.1394,1,3.36,High Risk,Reject
LN0000625,CUST000410,31,Male,Uttar Pradesh,Self Employed,31371.0,Vehicle Loan,152761,132229,48,10.02,3354.94,729.0,57,0,150,64869,Current,Active,0,0,2022-06-12,2027-01-15,0,0,0.1069,10.7,0.4906,0,0.35,Medium Risk,Approve with Conditions
LN0000988,CUST000675,38,Female,Telangana,Professional,101300.0,MSME Loan,2334952,1618191,36,12.59,54204.24,685.0,63,7,60,987293,1-30,Active,0,0,2022-12-11,2028-01-16,0,0,0.5351,53.5,0.6101,1,1.33,Medium Risk,Approve with Conditions
LN0000394,CUST000491,21,Male,Tamil Nadu,Salaried,72671.0,Personal Loan,360508,314620,24,14.6,15195.14,786.0,8,0,150,54570,Current,Active,0,0,2024-09-01,2025-03-19,0,0,0.2091,20.9,0.1734,0,0.36,Medium Risk,Approve with Conditions
LN0000588,CUST000225,38,Male,Madhya Pradesh,Salaried,50793.0,Consumer Durable Loan,19717,13765,24,8.5,625.7,615.0,58,30,30,6247,1-30,Active,0,0,2023-10-11,2028-05-28,0,0,0.0123,1.2,0.4538,1,0.02,High Risk,Reject
LN0000939,CUST000573,60,Female,Madhya Pradesh,Professional,47435.0,Home Loan,3642525,3510450,180,21.67,66027.04,753.0,61,15,90,1673412,1-30,Active,0,0,2020-08-09,2025-06-24,0,0,1.0,100.0,0.4767,1,6.17,Medium Risk,Reject
LN0000531,CUST000450,48,Female,Rajasthan,Salaried,115858.0,MSME Loan,99999999,573513,24,16.82,28306.2,752.0,3,15,90,461737,1-30,Active,0,0,2021-08-27,2021-10-27,0,0,0.2443,24.4,0.8051,1,0.41,Medium Risk,Approve with Conditions
LN0000002,CUST000571,55,Male,West Bengal,Self Employed,105514.0,Home Loan,7373952,5728370,180,14.08,76595.21,702.0,37,120,120,4956047,90+,Delinquent,1,1,2024-04-05,2026-12-04,0,0,0.7259,72.6,0.8652,1,4.52,High Risk,Reject
LN0000431,CUST000564,40,Female,Maharashtra,Self Employed,17556.0,Home Loan,4030631,3437234,240,16.68,49582.65,775.0,2,0,60,1381315,Current,Active,0,0,2021-01-16,2021-03-09,0,0,1.0,100.0,0.4019,0,16.32,Medium Risk,Reject
LN0000058,CUST000071,42,Male,Karnataka,Self Employed,36231.0,Vehicle Loan,765156,575988,24,9.73,26507.2,652.0,65,0,0,293726,Current,Active,0,0,2025-10-03,2031-01-09,0,0,0.7316,73.2,0.51,0,1.32,Medium Risk,Reject
LN0000708,CUST000037,48,Male,Rajasthan,Self Employed,45606.0,MSME Loan,443103,374872,24,16.81,18500.31,751.0,47,30,30,337745,1-30,Active,0,0,2022-05-31,2026-02-16,0,0,0.4057,40.6,0.901,1,0.68,Medium Risk,Approve with Conditions
LN0000631,CUST000221,47,Male,Rajasthan,Business,43130.0,Personal Loan,557695,512317,18,4.5,31975.26,798.0,33,0,45,205139,Current,Active,0,0,2024-04-11,2026-11-17,0,0,0.7414,74.1,0.4004,0,0.99,Medium Risk,Reject
